sequence_number,V_allele,D_allele,J_allele
0,ighv1-69-2*01,ighd3-22*01,ighj4*02
1,ighv3-20*01,ighd1-7*01,ighj4*03
2,ighv3-23*04,ighd2-8*02,ighj4*03
3,ighv3-30*04,ighd4-17*01,ighj4*03
4,ighv1-8*01,ighd5-18*01,ighj5*02
5,ighv1-45*01,ighd3-16*02,ighj4*03
6,ighv2-70*10,ighd5-5*01,ighj4*02
7,ighv3-35*02,ighd3-3*01,ighj5*02
8,ighv2-70d*04,ighd2-15*01,ighj4*03
9,ighv2-70d*04,ighd3-16*02,ighj4*03
10,ighv3-53*01,ighd1-20*01,ighj6*04
11,ighv3-23*04,ighd2-8*02,ighj6*01
12,ighv3-30-3*02,ighd4-17*01,ighj4*03
13,ighv2-5*01,ighd6-6*01,ighj4*02
14,ighv2-70d*04,ighd6-25*01,ighj4*03
15,ighv2-70d*14,ighd3-3*01,ighj6*04
16,ighv1-69d*01,ighd2-8*02,ighj4*03
17,ighv3-62*04,ighd4-17*01,ighj3*02
18,ighv1-18*04,ighd1-26*01,ighj6*01
19,ighv4-4*08,ighd1-1*01,ighj5*01
20,ighv2-5*02,ighd2-15*01,ighj3*02
21,ighv1-69-2*01,ighd6-13*01,ighj4*02
22,ighv1-3*03,ighd5-5*01,ighj4*03
23,ighv2-5*02,ighd2-2*01,ighj4*03
24,ighv3-73*01,ighd4-4*01,ighj4*03
25,ighv3-23*01,ighd3-9*01,ighj3*01
26,ighv2-26*02,ighd2-2*01,ighj4*03
27,ighv6-1*02,ighd3-3*02,ighj6*01
28,ighv3-53*02,ighd2-15*01,ighj2*01
29,ighv1-24*01,ighd5-18*01,ighj5*02
30,ighv3-72*01,ighd3-3*01,ighj2*01
31,ighv1-69d*01,ighd6-13*01,ighj4*03
32,ighv2-70*10,ighd5-18*01,ighj4*02
33,ighv3-21*06,ighd2-15*01,ighj5*01
34,ighv1-2*06,ighd3-3*01,ighj4*02
35,ighv1-3*02,ighd3-3*01,ighj4*02
36,ighv4-30-2*03,ighd1-26*01,ighj4*02
37,ighv1-2*07,ighd1-1*01,ighj1*01
38,ighv1-69-2*01,ighd1-7*01,ighj4*03
39,ighv3-30-5*01,ighd1-20*01,ighj2*01
40,ighv3-21*06,ighd4-17*01,ighj3*02
41,ighv1-2*06,ighd1-26*01,ighj5*02
42,ighv1-69d*01,ighd3-16*02,ighj5*01
43,ighv2-5*01,ighd4-17*01,ighj4*02
44,ighv1-3*02,ighd4-4*01,ighj4*02
45,ighv1-18*04,ighd3-16*02,ighj4*03
46,ighv1-58*02,ighd5-12*01,ighj6*01
47,ighv3-9*02,ighd3-9*01,ighj4*03
48,ighv2-70*20,ighd5-18*01,ighj6*01
49,ighv3-23d*01,ighd3-3*01,ighj6*04
50,ighv2-70d*04,ighd3-22*01,ighj4*03
51,ighv2-5*01,ighd3-22*01,ighj6*04
52,ighv2-5*01,ighd5-5*01,ighj4*02
53,ighv4-28*05,ighd1-26*01,ighj6*04
54,ighv3-53*01,ighd5-5*01,ighj6*04
55,ighv1-24*01,ighd3-16*02,ighj4*03
56,ighv1-69d*01,ighd4-4*01,ighj4*02
57,ighv3-62*04,ighd3-10*01,ighj3*01
58,ighv3-72*01,ighd6-19*01,ighj5*01
59,ighv2-70d*04,ighd6-13*01,ighj4*03
60,ighv1-58*02,ighd6-13*01,ighj6*01
61,ighv1-8*02,ighd1-26*01,ighj3*02
62,ighv1-69*09,ighd5-18*01,ighj4*02
63,ighv1-24*01,ighd1-20*01,ighj4*02
64,ighv3-30*04,ighd3-3*02,ighj4*03
65,ighv3-30-5*02,ighd2-8*02,ighj6*01
66,ighv3-53*01,ighd6-6*01,ighj6*04
67,ighv2-26*03,ighd3-16*01,ighj4*02
68,ighv2-70d*04,ighd6-6*01,ighj6*01
69,ighv2-5*01,ighd4-4*01,ighj5*02
70,ighv1-69*14,ighd3-3*02,ighj6*01
71,ighv3-23d*01,ighd3-16*01,ighj4*02
72,ighv1-3*02,ighd2-21*01,ighj4*02
73,ighv3-48*04,ighd3-10*02,ighj4*03
74,ighv4-39*01,ighd3-9*01,ighj3*02
75,ighv2-70d*04,ighd1-7*01,ighj6*01
76,ighv2-70*10,ighd2-15*01,ighj4*02
77,ighv1-18*03,ighd3-10*01,ighj3*01
78,ighv1-69*09,ighd5-12*01,ighj4*02
79,ighv1-8*02,ighd4-17*01,ighj2*01
80,ighv1-18*04,ighd3-16*02,ighj6*01
81,ighv3-72*01,ighd1-26*01,ighj5*01
82,ighv1-69*14,ighd1-1*01,ighj4*03
83,ighv3-9*01,ighd6-19*01,ighj3*01
84,ighv1-69-2*01,ighd4-17*01,ighj4*03
85,ighv1-45*01,ighd1-20*01,ighj3*02
86,ighv2-70*10,ighd1-20*01,ighj1*01
87,ighv2-26*03,ighd1-26*01,ighj4*02
88,ighv2-26*02,ighd3-22*01,ighj4*03
89,ighv1-18*04,ighd6-19*01,ighj4*03
90,ighv1-45*02,ighd6-19*01,ighj2*01
91,ighv3-64*05,ighd6-13*01,ighj6*04
92,ighv3-73*01,ighd4-17*01,ighj6*01
93,ighv3-11*05,ighd3-10*01,ighj4*02
94,ighv1-58*02,ighd4-17*01,ighj5*01
95,ighv1-58*01,ighd3-16*01,ighj3*01
96,ighv1-8*02,ighd1-26*01,ighj4*03
97,ighv1-69d*01,ighd1-20*01,ighj4*02
98,ighv2-5*02,ighd1-26*01,ighj4*03
99,ighv1-8*02,ighd2-15*01,ighj4*03
100,ighv1-24*01,ighd6-6*01,ighj6*04
101,ighv1-45*02,ighd1-1*01,ighj4*02
102,ighv3-20*01,ighd3-16*02,ighj5*01
103,ighv3-73*02,ighd5-5*01,ighj4*02
104,ighv3-62*04,ighd3-9*01,ighj2*01
105,ighv1-58*01,ighd2-8*01,ighj4*02
106,ighv3-64d*06,ighd3-22*01,ighj6*01
107,ighv1-58*02,ighd2-15*01,ighj5*01
108,ighv3-73*02,ighd4-4*01,ighj6*04
109,ighv1-18*03,ighd5-12*01,ighj4*02
110,ighv1-69d*01,ighd3-16*02,ighj4*03
111,ighv2-26*02,ighd6-13*01,ighj6*01
112,ighv1-45*02,ighd3-10*01,ighj5*02
113,ighv1-45*01,ighd6-19*01,ighj4*03
114,ighv7-4-1*02,ighd3-9*01,ighj4*02
115,ighv4-30-4*02,ighd4-4*01,ighj6*01
116,ighv4-38-2*02,ighd2-2*01,ighj4*03
117,ighv2-5*02,ighd1-20*01,ighj3*02
118,ighv1-24*01,ighd4-4*01,ighj5*01
119,ighv2-5*02,ighd2-21*02,ighj6*01
120,ighv2-70d*14,ighd1-26*01,ighj3*01
121,ighv1-2*06,ighd2-21*01,ighj4*02
122,ighv7-4-1*02,ighd6-6*01,ighj5*02
123,ighv3-9*02,ighd2-8*02,ighj4*03
124,ighv1-46*04,ighd5-5*01,ighj3*02
125,ighv1-8*02,ighd4-17*01,ighj6*01
126,ighv3-20*04,ighd2-21*01,ighj4*02
127,ighv3-72*01,ighd2-2*01,ighj4*03
128,ighv1-58*01,ighd2-15*01,ighj4*02
129,ighv2-5*02,ighd2-21*02,ighj4*03
130,ighv1-58*02,ighd2-8*02,ighj3*02
131,ighv3-23*01,ighd3-10*01,ighj4*02
132,ighv3-64*03,ighd6-13*01,ighj6*01
133,ighv4-30-4*01,ighd5-12*01,ighj6*04
134,ighv1-46*03,ighd4-4*01,ighj6*04
135,ighv2-70*20,ighd3-3*02,ighj4*03
136,ighv1-18*04,ighd6-6*01,ighj4*03
137,ighv3-11*06,ighd6-25*01,ighj4*03
138,ighv1-69-2*01,ighd2-2*02,ighj4*02
139,ighv4-28*06,ighd6-19*01,ighj6*01
140,ighv2-26*03,ighd3-16*01,ighj4*02
141,ighv1-18*04,ighd2-2*01,ighj4*03
142,ighv1-69-2*01,ighd5-18*01,ighj4*02
143,ighv3-nl1*01,ighd6-13*01,ighj4*03
144,ighv3-48*03,ighd2-8*01,ighj4*02
145,ighv1-8*02,ighd5-5*01,ighj4*03
146,ighv1-69d*01,ighd3-22*01,ighj6*04
147,ighv2-70*20,ighd6-25*01,ighj4*03
148,ighv3-30-3*03,ighd3-22*01,ighj4*02
149,ighv3-64*05,ighd1-26*01,ighj6*04
150,ighv3-9*01,ighd3-3*01,ighj6*04
151,ighv1-2*07,ighd2-21*02,ighj4*03
152,ighv2-70d*14,ighd2-8*01,ighj2*01
153,ighv4-39*01,ighd2-21*02,ighj3*02
154,ighv3-74*02,ighd3-16*02,ighj5*01
155,ighv1-58*01,ighd2-8*01,ighj6*04
156,ighv2-26*02,ighd1-1*01,ighj3*02
157,ighv4-30-4*02,ighd3-22*01,ighj3*02
158,ighv1-69d*01,ighd6-25*01,ighj1*01
159,ighv3-7*05,ighd3-16*01,ighj4*02
160,ighv5-10-1*03,ighd4-4*01,ighj6*04
161,ighv7-4-1*01,ighd6-25*01,ighj4*03
162,ighv1-69-2*01,ighd2-21*02,ighj4*03
163,ighv1-58*02,ighd2-21*02,ighj4*03
164,ighv5-10-1*04,ighd6-25*01,ighj4*03
165,ighv4-34*10,ighd6-25*01,ighj4*03
166,ighv5-10-1*03,ighd3-16*01,ighj3*01
167,ighv1-69-2*01,ighd6-13*01,ighj4*02
168,ighv2-70*10,ighd1-7*01,ighj4*02
169,ighv3-43*01,ighd1-26*01,ighj3*02
170,ighv3-nl1*01,ighd4-4*01,ighj3*01
171,ighv3-15*06,ighd2-15*01,ighj6*01
172,ighv1-18*04,ighd2-21*02,ighj4*03
173,ighv3-30-3*02,ighd4-17*01,ighj5*01
174,ighv3-9*02,ighd3-3*02,ighj6*01
175,ighv1-58*01,ighd2-15*01,ighj1*01
176,ighv1-58*02,ighd1-20*01,ighj3*02
177,ighv4-59*01,ighd6-6*01,ighj3*01
